id_chamado,data_abertura,data_fechamento,prioridade,status
INC-1001,2026-08-23,2026-08-24 12:00:00,Baixa,Resolvido
INC-1002,2026-08-05,2026-08-06 12:00:00,Baixa,Resolvido
INC-1003,2026-08-21,2026-08-23 16:00:00,Baixa,Resolvido
INC-1004,2026-08-23,2026-08-24 12:00:00,Baixa,Resolvido
INC-1005,2026-08-09,2026-08-10 00:00:00,Baixa,Resolvido
INC-1006,2026-08-12,,Média,Aberto
INC-1007,2026-08-21,2026-08-21 23:00:00,Média,Resolvido
INC-1008,2026-08-01,,Alta,Aberto
INC-1009,2026-08-01,,Média,Cancelado
INC-1010,2026-08-15,,Média,Aberto
INC-1011,2026-08-02,,Média,Aberto
INC-1012,2026-08-22,2026-08-22 09:00:00,Baixa,Resolvido
INC-1013,2026-08-16,2026-08-18 04:00:00,Baixa,Resolvido
INC-1014,2026-08-25,2026-08-27 21:00:00,Média,Resolvido
INC-1015,2026-08-08,2026-08-10 05:00:00,Média,Resolvido
INC-1016,2026-08-13,,Baixa,Aberto
INC-1017,2026-08-21,2026-08-22 15:00:00,Média,Resolvido
INC-1018,2026-08-01,,Alta,Cancelado
INC-1019,2026-08-16,,Média,Aberto
INC-1020,2026-08-07,,Baixa,Aberto
INC-1021,2026-08-05,2026-08-05 17:00:00,Baixa,Resolvido
INC-1022,2026-08-22,2026-08-22 13:00:00,Alta,Resolvido
INC-1023,2026-08-23,2026-08-24 03:00:00,Média,Resolvido
INC-1024,2026-08-03,,Alta,Aberto
INC-1025,2026-08-12,2026-08-14 17:00:00,Baixa,Resolvido
INC-1026,2026-08-16,,Média,Aberto
INC-1027,2026-08-19,,Média,Cancelado
INC-1028,2026-08-05,2026-08-05 19:00:00,Baixa,Resolvido
INC-1029,2026-08-22,,Média,Aberto
INC-1030,2026-08-25,2026-08-26 15:00:00,Baixa,Resolvido
INC-1031,2026-08-14,2026-08-16 10:00:00,Média,Resolvido
INC-1032,2026-08-05,,Baixa,Aberto
INC-1033,2026-08-15,,Baixa,Aberto
INC-1034,2026-08-17,2026-08-19 15:00:00,Média,Resolvido
INC-1035,2026-08-14,2026-08-15 09:00:00,Alta,Resolvido
INC-1036,2026-08-20,2026-08-21 20:00:00,Baixa,Resolvido
INC-1037,2026-08-05,,Média,Cancelado
INC-1038,2026-08-12,2026-08-13 12:00:00,Alta,Resolvido
INC-1039,2026-08-16,2026-08-16 18:00:00,Baixa,Resolvido
INC-1040,2026-08-16,2026-08-16 15:00:00,Média,Resolvido
INC-1041,2026-08-21,2026-08-21 03:00:00,Média,Resolvido
INC-1042,2026-08-07,,Alta,Cancelado
INC-1043,2026-08-04,2026-08-05 00:00:00,Baixa,Resolvido
INC-1044,2026-08-01,2026-08-02 12:00:00,Média,Resolvido
INC-1045,2026-08-05,2026-08-07 02:00:00,Média,Resolvido
INC-1046,2026-08-23,2026-08-25 16:00:00,Média,Resolvido
INC-1047,2026-08-10,2026-08-11 09:00:00,Alta,Resolvido
INC-1048,2026-08-22,2026-08-23 05:00:00,Média,Resolvido
INC-1049,2026-08-05,2026-08-05 06:00:00,Alta,Resolvido
INC-1050,2026-08-04,,Baixa,Cancelado
INC-1051,2026-08-02,2026-08-04 08:00:00,Média,Resolvido
INC-1052,2026-08-20,,Média,Aberto
INC-1053,2026-08-10,2026-08-12 17:00:00,Média,Resolvido
INC-1054,2026-08-19,2026-08-19 11:00:00,Baixa,Resolvido
INC-1055,2026-08-01,2026-08-03 11:00:00,Média,Resolvido
INC-1056,2026-08-24,,Baixa,Aberto
INC-1057,2026-08-05,2026-08-05 01:00:00,Média,Resolvido
INC-1058,2026-08-13,2026-08-15 21:00:00,Alta,Resolvido
INC-1059,2026-08-04,,Baixa,Cancelado
INC-1060,2026-08-16,2026-08-17 13:00:00,Baixa,Resolvido
INC-1061,2026-08-24,,Média,Aberto
INC-1062,2026-08-16,2026-08-16 01:00:00,Média,Resolvido
INC-1063,2026-08-23,,Média,Cancelado
INC-1064,2026-08-02,2026-08-03 08:00:00,Média,Resolvido
INC-1065,2026-08-17,2026-08-18 15:00:00,Média,Resolvido
INC-1066,2026-08-20,2026-08-20 03:00:00,Média,Resolvido
INC-1067,2026-08-24,2026-08-26 06:00:00,Baixa,Resolvido
INC-1068,2026-08-12,,Alta,Cancelado
INC-1069,2026-08-18,,Média,Aberto
INC-1070,2026-08-03,2026-08-03 14:00:00,Média,Resolvido
INC-1071,2026-08-01,,Média,Aberto
INC-1072,2026-08-01,2026-08-02 14:00:00,Alta,Resolvido
INC-1073,2026-08-19,2026-08-21 03:00:00,Média,Resolvido
INC-1074,2026-08-11,,Média,Cancelado
INC-1075,2026-08-05,2026-08-06 06:00:00,Baixa,Resolvido
INC-1076,2026-08-12,2026-08-12 05:00:00,Baixa,Resolvido
INC-1077,2026-08-03,,Média,Aberto
INC-1078,2026-08-01,,Baixa,Aberto
INC-1079,2026-08-01,2026-08-01 06:00:00,Alta,Resolvido
INC-1080,2026-08-08,2026-08-09 19:00:00,Média,Resolvido
INC-1081,2026-08-10,2026-08-10 23:00:00,Alta,Resolvido
INC-1082,2026-08-11,2026-08-11 16:00:00,Alta,Resolvido
INC-1083,2026-08-12,2026-08-14 08:00:00,Alta,Resolvido
INC-1084,2026-08-13,2026-08-14 03:00:00,Baixa,Resolvido
INC-1085,2026-08-12,2026-08-14 03:00:00,Alta,Resolvido
INC-1086,2026-08-14,2026-08-15 18:00:00,Alta,Resolvido
INC-1087,2026-08-02,2026-08-02 01:00:00,Alta,Resolvido
INC-1088,2026-08-19,2026-08-20 22:00:00,Média,Resolvido
INC-1089,2026-08-18,2026-08-19 21:00:00,Média,Resolvido
INC-1090,2026-08-03,2026-08-04 23:00:00,Alta,Resolvido
INC-1091,2026-08-23,2026-08-25 15:00:00,Alta,Resolvido
INC-1092,2026-08-17,2026-08-18 12:00:00,Alta,Resolvido
INC-1093,2026-08-08,,Baixa,Aberto
INC-1094,2026-08-10,2026-08-12 08:00:00,Média,Resolvido
INC-1095,2026-08-02,2026-08-02 02:00:00,Média,Resolvido
INC-1096,2026-08-19,,Alta,Aberto
INC-1097,2026-08-09,2026-08-09 23:00:00,Baixa,Resolvido
INC-1098,2026-08-07,2026-08-07 18:00:00,Média,Resolvido
INC-1099,2026-08-04,2026-08-04 15:00:00,Média,Resolvido
INC-1100,2026-08-21,2026-08-22 04:00:00,Baixa,Resolvido
