data_registro,servidor,cpu_pct,memoria_pct
2026-08-01,SRV-PROD-01,74.93,67.93
2026-08-01,SRV-PROD-02,77.95,92.85
2026-08-01,SRV-DB-01,60.32,66.49
2026-08-01,SRV-APP-01,96.58,81.51
2026-08-02,SRV-PROD-01,55.61,78.14
2026-08-02,SRV-PROD-02,55.73,63.01
2026-08-02,SRV-DB-01,69.84,41.3
2026-08-02,SRV-APP-01,30.5,61.57
2026-08-03,SRV-PROD-01,44.74,74.71
2026-08-03,SRV-PROD-02,46.84,48.82
2026-08-03,SRV-DB-01,94.31,66.61
2026-08-03,SRV-APP-01,66.35,48.63
2026-08-04,SRV-PROD-01,54.11,71.66
2026-08-04,SRV-PROD-02,41.98,75.64
2026-08-04,SRV-DB-01,52.99,65.62
2026-08-04,SRV-APP-01,52.97,97.78
2026-08-05,SRV-PROD-01,64.73,54.13
2026-08-05,SRV-PROD-02,81.45,51.69
2026-08-05,SRV-DB-01,69.18,40.6
2026-08-05,SRV-APP-01,38.44,72.95
2026-08-06,SRV-PROD-01,79.77,72.57
2026-08-06,SRV-PROD-02,62.69,65.48
2026-08-06,SRV-DB-01,35.43,59.2
2026-08-06,SRV-APP-01,55.79,85.86
2026-08-07,SRV-PROD-01,71.87,43.55
2026-08-07,SRV-PROD-02,71.48,64.22
2026-08-07,SRV-DB-01,51.46,79.18
2026-08-07,SRV-APP-01,85.62,83.97
2026-08-08,SRV-PROD-01,48.22,65.36
2026-08-08,SRV-PROD-02,71.63,84.63
2026-08-08,SRV-DB-01,55.42,67.22
2026-08-08,SRV-APP-01,42.87,52.06
2026-08-09,SRV-PROD-01,81.25,90.34
2026-08-09,SRV-PROD-02,63.56,85.05
2026-08-09,SRV-DB-01,72.23,60.32
2026-08-09,SRV-APP-01,72.23,93.07
2026-08-10,SRV-PROD-01,64.28,93.47
2026-08-10,SRV-PROD-02,12.61,82.33
2026-08-10,SRV-DB-01,66.74,65.51
2026-08-10,SRV-APP-01,66.84,40.19
2026-08-11,SRV-PROD-01,60.61,75.36
2026-08-11,SRV-PROD-02,94.56,62.23
2026-08-11,SRV-DB-01,48.83,62.47
2026-08-11,SRV-APP-01,83.31,74.93
2026-08-12,SRV-PROD-01,54.4,77.7
2026-08-12,SRV-PROD-02,66.94,84.53
2026-08-12,SRV-DB-01,50.96,65.09
2026-08-12,SRV-APP-01,57.16,48.05
2026-08-13,SRV-PROD-01,70.92,73.92
2026-08-13,SRV-PROD-02,65.1,66.48
2026-08-13,SRV-DB-01,36.69,63.69
2026-08-13,SRV-APP-01,58.15,57.97
2026-08-14,SRV-PROD-01,61.77,76.06
2026-08-14,SRV-PROD-02,102.72,72.62
2026-08-14,SRV-DB-01,70.15,68.88
2026-08-14,SRV-APP-01,26.62,69.6
2026-08-15,SRV-PROD-01,66.2,106.95
2026-08-15,SRV-PROD-02,61.15,74.52
2026-08-15,SRV-DB-01,64.31,52.47
2026-08-15,SRV-APP-01,87.86,81.28
2026-08-16,SRV-PROD-01,80.82,56.36
2026-08-16,SRV-PROD-02,93.06,48.97
2026-08-16,SRV-DB-01,76.74,102.86
2026-08-16,SRV-APP-01,45.19,61.51
2026-08-17,SRV-PROD-01,66.99,62.45
2026-08-17,SRV-PROD-02,33.99,71.03
2026-08-17,SRV-DB-01,43.75,77.1
2026-08-17,SRV-APP-01,46.61,93.25
2026-08-18,SRV-PROD-01,49.33,65.17
2026-08-18,SRV-PROD-02,81.27,51.54
